trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,17.5,5,,"The system should be integrated with the electronic reporting and electronic prescribing system. Having 3 different IT platforms is difficult to work with and increases clinical risk. The computer access needs to be improved - the software seems slow to load, takes much longer than turning a page for eaxmple.   ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,90,40,,,,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),"Administrative staff - eg ward clerk, clinical coder, secretary",45,30,,"Please include Soundex! This was a handy feature on the RiO system, and sometimes it's not easy to locate a client!",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,72.5,30,ready access to results and clinical letters,complete failure to interface with other systems,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,67.5,27.5,Easy access to list of diagnoses and archived documentation.,Incorporate drug presctiption into the system.,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,MOSAIQ (Elekta),Secondary / Tertiary Care Doctor,72.5,27.5,"Fairly well laid out, customisable by organisation to improve patient flow and reduce risk of errors","More user-customisation - ability to remove (or at least hide) unnecessary field

",,,
Mental Health Foundation Trust,Southern Health NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,42.5,15,"It is primarily a clinical system and screens are much simpler and less busy or intimidating than a system such as SystmONE. Our version has shared mental health, learning disabilities and physical health community notes - a single patient record.","The system does nto have coded templates, the templates present (about 350 of them ) are ALL not fit for purpose. Updating templates is such an onerous feat for the Systems Support team that the trust has just given up on doing what is being asked for by all clinical areas, namely developing common Single Assessment Forms. Hence because of this the system from a clinical point of view is dead in the water.


No space to add comments about this survey, however just to let you know that Southern Health NHS Foundation Trust is both community, LD and Mental Health Trust so my comments relate to community use.",,,
Mental Health Trust (non-Foundation),Devon Partnership NHS Trust,Carenotes (Advanced Health & Care),"Physiotherapy, OT, Medical Technicians",37.5,20,I can see the notes of other professionals from this Trust who work with my clients.,Not being able to go from the diary to a client's case notes. Colour scheme. No way to increase font size or text and  colour settings.Very hard to find different forms. On RiO there was a side bar with all the links we needed. Hard to tell if we have completed all the fields we need to. Some forms are very cumbersome and not really fit for purpose.,,,
Community Trust,Central London Community Healthcare NHS Trust,Carenotes (Advanced Health & Care),"Administrative staff - eg ward clerk, clinical coder, secretary",42.5,17.5," Automatically open to the last page you save 
","To be much more faster than it is at the moment [too slow therefore making it difficult for the patient and staff members expectally the admin staff].
Takes too long to load a page when something is clicked on resulting to taking triple the time to get on ething done 


For the system to stop givimg error messages that logs you off radomly in the middle of work 

When a patient has arrived nothing happens (face doesn't change colour for anyone to know if the patient has arrived). 

Make the colors for each stream different to make the keys easier to read.

Book miltiple appointments at one time. [Currently nee have to book one by one which is difficult when you have one patient with four appointments to book, the phones ringing and  other patients waiting to be seen to.
",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,i.CM (CSC),Secondary / Tertiary Care Doctor,47.5,32.5,electronically accessible patient information available on any site and quickly,"the speed of the system responsiveness is poor. the letter maker section is not well inegrated, the user interface is not intuiate and dated and not user friendly. It still resembles an adapted DOS based system. It lack functionality that would be useful for patient safety, e.g. sharing pending lists with other clinicians.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,iCS (CSC),Secondary / Tertiary Care Doctor,52.5,10,"available on most of the hospital computers
","this question is difficult to answer as there is much but could be broadly classificed into
Presentation of information
Ease of data entry
Integration
Support and creation of modules
Un-necessary complexity",,,
Community Trust,Other,Carenotes (Advanced Health & Care),"Physiotherapy, OT, Medical Technicians",17.5,0,I dont like anything about the system. ,"I believe the system is not fit for purpose. It is very slow and time consuming which is not allowing us to work efficiently especially in a very busy clinic!
The system will 'crash' alot during the day and therefore have to take the time to reboot..this doesnt always work and therefore I am without notes for a portion of the day which is detrimental to patient care. My safety and theirs are therefore at risk. 
Booking appointments etc is very slow. Unfortunetly the system is not good at all to work with and is really affecting everybody. 
In my opinion...I strongly think that the system needs to be changed as nobody can work like this long term. Its very stressful. ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Carenotes (Advanced Health & Care),"Physiotherapy, OT, Medical Technicians",15,7.5,The colour scheme and patient details shown at the top of the page is the only thing i like about this system.,"I would like to be able to see when patients arrive for their appointments by looking at the screen - not having to walk to reception or call the receptionist.

I would like to be able to sort notes to see all previous Podiatry notes and scroll down to read - not click into each individual note which is time consuming and does not allow you to get an adeuqate overview of previous care from our department.

I would like pt's contact details (eg phone no)to show on the address tab.

I would like to click on patients name from the clinic stream and go straight to their notes.

I would like to be able to access letter templates without first having to save a document to the patient's file first (which may then turn out to the wrong document).

I would like pages to load faster and for it to crash less frequently.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),Secondary / Tertiary Care Doctor,32.5,12.5,e-noting = the ability to access inpatient notes and record information remotely,"e-noting - terrible integration with other programmes (EPR for results, PACS for scans, medchart for drugs) making it very cumbersome to use, often slow to load, crashes, difficulty scanning through patient notes. It would be much better to use EPR for note taking (for example as used at Kings College Hospital NHS Trust) as this makes linking to results and patient documents much easier, seems to crash less often, allows you to pull up patients notes as a single pdf document which is easy to read and scan through. E-noting is not effective and detracts from patient interaction. ",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,In House System (In House),"Physiotherapy, OT, Medical Technicians",37.5,2.5,That everything is in one place. However I would only like this IF people used the system as intended- please see below comments.,"The system is good for patient care if it is used as intended. However notes can not be read easily by all members of staff and therefore professionals (especially doctors) are not reading entries that would support their management of the patient (such as discharge destination/care needed/support on discharge etc). 

There has been many times that doctors/nurses just do not look at a therapies entry and then spend unjust time asking/bleeping the therapist for undates that have clearly been entered onto the system.

It takes too long to open it and therefore less time spent with patients.

There are not enough computers to go around the staff therefore you spend time hunting for a computer, logining in, finding the information you need and so all time wasted which was a 1 minute job on paper.

Observations are not entered in a timely manner by the nurses to the system; therefore you go to see a patient at 13:00 and then last observation available to see is at 09:00.

Certain areas of therapy need specific information that is better completed in a form format; this is readily available on our established EPR system but has not been fully populated into e-noting. Therefore the system is entirely unfit for purpose and was rolled out with no hope of working in specific areas. This is the same not just for therapies but in nursing and medical areas as well who used EPR before.

I also have no idea why we use this system as King's has EPR in note format and as most members of staff use EPR at Guy's this in my mind would be a more logical step.

My staff also need training in yet another system which places more strain on an already stretched service; if you are asking what I would change it would be that we, as a trust, strategically look long and hard at all these systems and try to consolidate where we can, as clinically, it is an ever increasing burden.",,,
